filename	caption	second positive	negative_caption
000000156076.jpg	A couple of adults and one young person eating pizza.	Three individuals including two adults and one child are eating pizza.	A couple of adults and one young person cooking pizza.
000000008021.jpg	People watch a person delivering a lecture on a screen.	A screen shows a person delivering a lecture to an audience of people.	People are ignoring a person delivering a lecture on a screen.
000000123213.jpg	Two teams are playing baseball with the umpire touching the catcher.	The umpire is making contact with the catcher while two teams are playing baseball.	Two teams are playing baseball with the umpire coaching the catcher.
000000564133.jpg	A herd of elephants walking down a path in some tall grass.	A group of elephants strolling through a trail in tall grass.	A herd of elephants running along a path in some tall grass.
000000117425.jpg	A child holds a spoon and looks at a cupcake.	The cupcake is observed by the child holding a spoon.	A child is dropping a spoon while looking at a cupcake.
000000064462.jpg	A person on skis on a ski slope posing for a picture.	A person wearing skis is posing for a photograph while being positioned on the ski slope.	A person off skis on a ski slope posing for a picture.
000000520301.jpg	A brown medium sized dog stares out of a window.	The medium-sized brown dog gazes out of the window.	A brown medium sized dog stares into a window.
000000126226.jpg	Some baseball players sitting in a dugout watching a game.	A group of baseball players watching a game sitting in the dugout.	Some baseball players standing in a dugout watching a game.
000000286994.jpg	One elephant standing away from the rest of the herd, drinking water.	An elephant standing apart from the herd, drinking water.	One elephant standing next to the rest of the herd, drinking water.
000000458992.jpg	The person has a knife and fork for eating the big pizza.	For eating the large pizza, an individual is equipped with a knife and a fork.	The person doesn't have a knife and fork for eating the big pizza.
000000521540.jpg	The plate has a banana being sliced near cookies.	Close to the cookies, the plate contains a banana being sliced.	The plate has a banana being sliced far from cookies.
000000426329.jpg	A dining table with cakes and a tv monitor.	A tv monitor and cakes are positioned on the dining table.	A dining table without cakes and a tv monitor.
000000011813.jpg	A tripod sitting next to a laptop.	A laptop is placed beside a tripod.	A tripod is on top of a laptop.
000000398237.jpg	A child with various yard decorations some of which look like fish.	Various yard decorations some of which look like fish are with a child.	A child without any yard decorations is playing.
000000295231.jpg	A bunch of sheep are walking around bored.	A herd of bored sheep are roaming around.	A bunch of sheep are running through the field excitedly.
000000114871.jpg	A plate with a banana and slices of cheese.	A plate contains cheese slices along with a banana.	A plate without a banana and slices of cheese.
000000555050.jpg	A car driving in an intersection, past a furniture shop.	A car driving past a furniture store through the intersection.	A car driving in an intersection, toward a furniture shop.
000000187243.jpg	A person laying on a bathroom floor next to a toilet.	A person lies beside a toilet on the bathroom floor.	A person sitting on a bathroom floor next to a toilet.
000000315257.jpg	A bird with outstretched blue wings is sitting on some bird feeder.	A bird perched on some bird feeder outstretched its blue wings.	A bird with outstretched blue wings is feeding from a bird feeder.
000000551439.jpg	A person holding a red book in hand while sitting on a bed.	The person sits on the bed and holds a red book in hand.	A person is turning the pages of a red book while sitting on a bed.
000000201072.jpg	A person in a defensive stance with a tennis racquet.	A person holding a tennis racquet is in a defensive stance.	A person near a tennis court with a tennis racquet in hand.
000000205542.jpg	A large metal chair with a brown teddy bear in it.	A brown teddy bear is seated in a large metal chair.	A large metal chair with a brown teddy bear beside it.
000000092839.jpg	A white polar bear is laying down in its pen	The white polar bear is reclining in its enclosure.	A white polar bear is standing up in its pen.
000000206411.jpg	A person sprays the inside of a toilet.	Inside of a toilet is being sprayed by a person.	A person scrubs the inside of a toilet.
000000284991.jpg	A person drinking a beverage from a red bottle.	A person with a red bottle is drinking a beverage from it.	A person is spilling a beverage from a red bottle.
000000378454.jpg	A person gets air catching the Frisbee near the water.	A person leaps into the air to catch a Frisbee close to the water.	A person gets air catching the Frisbee far from the water.
000000537506.jpg	A group of people wait near a wedding procession of cars, one of them holding two apples.	Near a wedding procession of cars, A gathering of individuals stand with one person holding couple of apples.	A group of people wait near a wedding procession of cars, one of them juggling two apples.
000000089556.jpg	A couple of silver cars parked around a fire hydrant.	Around the fire hydrant, two silver cars are parked	A couple of silver cars were driving past a fire hydrant.
000000349837.jpg	Several refrigerators are lined up by a wall.	Multiple refrigerators are aligned against the wall.	Several refrigerators are sprawled across a wall.
